연도,시도,구분,심한장애(남),심한장애(여),심한장애(계),심하지 않은 장애(남),심하지 않은 장애(여),심하지 않은 장애(계),합계(남),합계(여),합계(계)
2019 ,대구광역시,장루.요루,36 ,17 ,53 ,350 ,236 ,586 ,386 ,253 ,639 
2019 ,인천광역시,장루.요루,47 ,37 ,84 ,465 ,297 ,762 ,512 ,334 ,846 
2019 ,광주광역시,장루.요루,20 ,16 ,36 ,206 ,131 ,337 ,226 ,147 ,373 
2019 ,대전광역시,장루.요루,25 ,13 ,38 ,232 ,126 ,358 ,257 ,139 ,396 
2019 ,울산광역시,장루.요루,10 ,10 ,20 ,120 ,78 ,198 ,130 ,88 ,218 
2019 ,세종특별자치시,장루.요루,2 ,2 ,4 ,43 ,25 ,68 ,45 ,27 ,72 
2019 ,제주특별자치도,장루.요루,11 ,7 ,18 ,99 ,76 ,175 ,110 ,83 ,193 
2019 ,소계,뇌전증,994 ,816 ,1810 ,2861 ,2383 ,5244 ,3855 ,3199 ,7054 
2019 ,서울특별시,뇌전증,176 ,160 ,336 ,511 ,397 ,908 ,687 ,557 ,1244 
2019 ,부산광역시,뇌전증,103 ,55 ,158 ,207 ,170 ,377 ,310 ,225 ,535 
2019 ,대구광역시,뇌전증,56 ,59 ,115 ,128 ,93 ,221 ,184 ,152 ,336 
2019 ,인천광역시,뇌전증,52 ,38 ,90 ,165 ,148 ,313 ,217 ,186 ,403 
2019 ,광주광역시,뇌전증,22 ,25 ,47 ,114 ,106 ,220 ,136 ,131 ,267 
2019 ,대전광역시,뇌전증,38 ,37 ,75 ,109 ,75 ,184 ,147 ,112 ,259 
2019 ,울산광역시,뇌전증,11 ,13 ,24 ,43 ,37 ,80 ,54 ,50 ,104 
2019 ,세종특별자치시,뇌전증,3 ,2 ,5 ,10 ,12 ,22 ,13 ,14 ,27 
2019 ,제주특별자치도,뇌전증,15 ,17 ,32 ,43 ,49 ,92 ,58 ,66 ,124 
2020 ,,,415505 ,282195 ,697700 ,661947 ,499986 ,1161933 ,1077452 ,782181 ,1859633 
2020 ,소계,지체,155408 ,81286 ,236694 ,544318 ,426356 ,970674 ,699726 ,507642 ,1207368 
2020 ,서울특별시,지체,21158 ,11839 ,32997 ,76145 ,63464 ,139609 ,97303 ,75303 ,172606 
2020 ,부산광역시,지체,10846 ,5176 ,16022 ,35814 ,26679 ,62493 ,46660 ,31855 ,78515 
2020 ,대구광역시,지체,6652 ,3482 ,10134 ,24432 ,17114 ,41546 ,31084 ,20596 ,51680 
2020 ,인천광역시,지체,9350 ,4365 ,13715 ,32897 ,21924 ,54821 ,42247 ,26289 ,68536 
